,no_of_likes,no_of_images,title,listing_price,item_condition,deal_method,post_date,category_type,post_type,condition_subtext,listing_description,mailing_option,delivery_options,mail_speed,meetup_option,meetup_location,deal_location_lat,deal_location_lon,seller_id,seller_join_date,seller_response,seller_verif,verified_by_email,verified_by_facebook,verified_by_mobile,seller_stars_rating,reviews_of_seller,url
287,19 likes,4 images,Carrera Ualour Hybrid bike S Not btwin# specialized#linus#merida#giant #,215,Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Good condition bike
Wheel size 700cc
Frame size S
Shimano tigara group set 9*2speed ",N,NA,NA,Y,Woodlands Vista,1.43122807,103.79231036,lifecircle05,Joined 1 year ago,Very Responsive,Verified,NA,NA,NA,4.6,12,https://www.carousell.sg/p/carrera-ualour-hybrid-bike-s-not-btwin-specialized-linus-merida-giant-1241956269/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=4jo1em8ep1pg3CLJ&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1224
288,1 like,7 images,GIANT TCR ADVANCED PRO 1 DISC (Ultegra)M size ( legit very lightly used accept for the paint chip at the fork),"4,000",Like new,Meetup,4 hours ago,Road Bikes,Posted,Used once or twice. As good as new.,"Bought June 2022 , there is still about 2 years left of warranty  ( can chat more about warranty 😀) 

Used for 4 rides Oni , the chip I alr got it check no issues just a normal chip . 

M size ,2021 model 
Stem
Giant Contact SL
Seatpost
Giant Variant, composite
Saddle
Giant Fleet SL
Shimano Ultegra
Front Derailleur
Shimano Ultegra
Rear Derailleur
Shimano Ultegra
Brakes
Shimano Ultegra hydraulic
Brake Levers
Shimano Ultegra hydraulic
Cassette
Shimano Ultegra, 11x30
Chain
KMC X11SL-1
Crankset
Shimano Ultegra, 52/36 with Giant PowerPro power meter
Rims
Giant SLR-1 42 Carbon Disc WheelSystem (F:42mm, R:42mm)
Hubs
Giant SLR-1 42 Carbon Disc WheelSystem, 12mm thru-axle
Weight
≈ 7.6kg",N,NA,NA,Y,Blk 469A Admiralty Drive,1.4485929,103.813065,cadenx,Joined 3 years ago,Very Responsive,Verified,NA,NA,NA,5.0,4,https://www.carousell.sg/p/giant-tcr-advanced-pro-1-disc-ultegra-m-size-legit-very-lightly-used-accept-for-the-paint-chip-at-the-fork-1244494347/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=3
289,42 likes,6 images,Raleigh Hybrid Road bike,450,Brand new,Meetup,2 months ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"While stock last. 
New Raleigh RL880 Alloy Frame and Alloy Rim 30mm x 700 x 28c wheelset with upgraded HOLLOW LITEPRO CRANKSET (can choose colour) with HOLLOW BLACK BOTTOM BRACKET to smoothen riding and lighten your bike. 
Option drop bar or straight bar also same price. 
So far supplier have not rise the price yet for GST. 
Deposit $100 ready in 7 to 10 days.
Will refund back your money if found supplier last minute no stock but so far no case yet. 
Sincere Raleigh specialist bike mechanic. 

Good Price at $450 No GST. 
Self collect SEMBAWANG",N,NA,NA,Y,Spring Lodge,1.45549972,103.81378412,abangzil,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,4.9,54,https://www.carousell.sg/p/raleigh-hybrid-road-bike-1229831121/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UjKEfDhZ58Wtk_79&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1653
290,2 likes,4 images,Cervelo R3,"2,800",Lightly used,Meetup,Yesterday,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Ultegra groupset
45mm Carbon Wheels from Xentis
Frame size 51
7.7kg

Bike in near perfect condition, washed after every 2 rides

Refs: Upgrading ",N,NA,NA,Y,Parkway East HospitalEunos MRT Station (EW7)See 1+ locations,1.31490297,103.90914054,p0mn0m,Joined 5 years ago,Very Responsive,Verified,NA,NA,NA,4.8,21,https://www.carousell.sg/p/cervelo-r3-1244328340/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=AKenagH3WyunJ-Yr&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=123
291,40 likes,6 images,Factor Ostro VAM frameset,"4,100",Lightly used,Meetup,1 week ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","2021 Factor Ostro VAM Frameset
Size 54
420/100
Function 10/10 
Condition 9/10

Uncut steerer
Ceramicspeed headset and bottom bracket, and computer mount included. 
Fine scratches at bottom of BB area due to normal riding usage. 

All accessories included in box.  Bike bought at One Bike Asia on Dec 2021 and regularly cleaned & serviced.  Super light and all rounder aero frameset. 

Price slightly negotiable.  No trades please. 

Please pm to view and deal.  Thanks in advance. ",N,NA,NA,Y,Buangkok MRT Station (NE15),1.38336377,103.89346243,chonger888,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,30,https://www.carousell.sg/p/factor-ostro-vam-frameset-1242293224/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=GQOrMrQJQ-YAUHog&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1075
292,3 likes,3 images,WTS RC Triban 100 (L frame),210,Lightly used,Meetup,2 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","I used it well during my time but it’s under utilised. 

All the specifications of the bike can be found here: ",N,NA,NA,Y,Tampines MRT Station (EW2/DT32),1.35350085,103.94510601,alvarezz,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,5.0,14,https://www.carousell.sg/p/wts-rc-triban-100-l-frame-1244070664/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=SVxlLDXiQpXS6wqS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=282
293,4 likes,4 images,Mini velo 7 speed,190 220,Well used,Meetup,6 days ago,Road Bikes,Posted,Has minor flaws or defects.,"Used only 2-3 times. 
Selling it cos not using anymore and want to clear space. Moving out. 
Comes with chain lock, phone holder - basically what you see here is what you get except for the silver rack, replaced new saddle seat and bike handle as well. ",N,NA,NA,Y,Rivervale Crescent,1.3893659,103.90855828,annbiol,Joined 9 years ago,Very Responsive,Verified,NA,NA,NA,5.0,12,https://www.carousell.sg/p/mini-velo-7-speed-1243355865/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=omN_uxru5foZSL37&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=613
294,3 likes,1 image,"MTB - Lightweight, with suspension iColour Mountain Bike 26“ MTB 21 Speed Gear Red 220 SAL inch seat children 20 seat food delivery mesh 29 27.5 front "" 16 bag 26 lady rack child baby thermal kid adult 24 WHATSAPP 89501850",200,Brand new,Mailing,1 month ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! 
Self assembly, Toolkit provided

FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 




➡️ 21 Speed Gear
➡️ 26"""" Wheel 
➡️ Mechanical Front & Rear Disk Brake System
➡️ Fast Clip Seat
➡️ Ultralight Body Frame
➡️  Gift 🎁 

MORE PHOTOS:
 bit.ly/3gxAIHB

Please whatsapp for inquiry 😊
🤙
🤙 wa.me/6589501850
🤙 wa.me/6589501850
🤙 

You can also visit 
➡️  www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
 dashlab.sg/collections/accessories-child-seat",Y,Standard delivery S$30,3 - 4 working days,N,NA,,,hyperk,Joined 2 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,5,https://www.carousell.sg/p/mtb-lightweight-with-suspension-icolour-mountain-bike-26“-mtb-21-speed-gear-red-220-sal-inch-seat-children-20-seat-food-delivery-mesh-29-27-5-front-16-bag-26-lady-rack-child-baby-thermal-kid-adult-24-whatsapp-89501850-1238133162/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=-K7WvTlu9-8PhyYg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2514
295,37 likes,1 image,Pinarello f12 di2 dura ace,"3,200 3,500",Lightly used,Meetup,3 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Reduced from 3700 for quick sale.
First come first serve!
total bike mileage under 500km.

specs sheet:
Size: Size S 163 to 175) I'm 173
Handlebar: 400mm
Stem: 90mm,
Crankset: 52-36
Cassette: 11-28
50mm carbon wheelset(very loud hub)
grand prix continental racing tyre

Dura Ace Di2 shifters
Dura Ace Di2 FD & RD
Ultegra R8k crankset
Ultegra R8K direct mount brake
Ultegra R8K cassette
Ultegra chain
(comes with di2 charger BCR02)
 
Do take note that it's a OEM frame as real ones don't cost this low

dosent come with spd pedal , can provide temporary flat pedal",N,NA,NA,Y,Ubi MRT Station (DT27)Eunos MRT Station (EW7),1.32976275,103.89935732,jdr_customs,Joined 4 years ago,Very Responsive,Verified,NA,NA,NA,4.7,25,https://www.carousell.sg/p/pinarello-f12-di2-dura-ace-1240196829/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=6tLs0oWl9wP6QH7C&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1872
296,Like,1 image,CST tube,7,Brand new,Meetup,1 week ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"CST tube 700×18/25 FV48mm
brand new in box",N,NA,NA,Y,404A Fernvale laneanytime after 4pm,1.38798865,103.87353413,1911mikesingh,Joined 2 years ago,Very Responsive,Verified,NA,NA,NA,5.0,4,https://www.carousell.sg/p/cst-tube-1241907562/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=FJT3StX2wQq4rthn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1267
297,1 like,5 images,Java siluro 3 [TIAGRA] road bike ,550,Lightly used,Meetup,4 hours ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Java siluro 3 that’s in good condition, recently just went for servicing.
Dm for more info

Shifter: Shimano tiagra ST4700
Fd: Shimano tiagra
Rd: shimano tiagra
 
pasak wheelset",N,NA,NA,Y,Lakeside MRT Station (EW26)Can be discussed. ,1.34438658,103.72055369,cssss.__,Joined 4 years ago,Very Responsive,Verified,NA,NA,NA,5.0,42,https://www.carousell.sg/p/java-siluro-3-with-tiagra-road-bike-1244490304/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=ElMkqX77IdxwzyTn&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=8
298,8 likes,4 images,10' inch folderable bike,120,Brand new,Meetup,2 months ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Brand New stock .
Collection is at IMM warehouse. ( Jurong East )",N,NA,NA,Y,Cashew RoadIMM warehouse ,1.37239802,103.7684226,alexyeo123,Joined 7 years ago,Very Responsive,Verified,NA,NA,NA,4.9,71,https://www.carousell.sg/p/10-inch-folderable-bike-1228831948/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=bqngu9DPepr-Wonv&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1953
299,16 likes,2 images,Road Bike,900,Lightly used,Mailing · Meetup,1 month ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Silverback Siablo Size S
Full Ultegra r8000 Groupset
Fulcrum wheelset",Y,Standard delivery S$3,3 - 4 working days,Y,Azalea Park Poolside,1.36057475,103.96297081,josephtaco,Joined 6 years ago,Mostly Responsive,Verified,NA,NA,NA,4.6,12,https://www.carousell.sg/p/road-bike-1238174003/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=-K7WvTlu9-8PhyYg&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2476
300,20 likes,7 images,Trek- Domane SL 5,"4,100",Like new,Meetup,3 months ago,Road Bikes,Posted,Used once or twice. As good as new.,"Trek bicycle
Hardly used. Like maybe 4 to 5 times and that too sporadically
Size: 56 cm

Moving out of Singapore, hence selling the bike. 

Actually price of the bike with accessories is 6000$ +


Domane SL 5 is all about smooth riding, speed, and versatility. The lightweight OCLV Carbon frame has both Front and Rear IsoSpeed to smooth out bumps in the road and reduce fatigue so you can stay stronger on long adventures. It has a reliable Shimano 105 drivetrain, disc brakes for all-weather stopping power, and an easy-access internal storage compartment for stowing ride essentials.",N,NA,NA,Y,Meyer Road,1.29709968,103.89102101,mjbatcorousell,Joined 6 years ago,Mostly Responsive,Verified,NA,NA,NA,5.0,7,https://www.carousell.sg/p/trek-domane-sl-5-1227345000/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=PkeVFY9vEcrIDG9U&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2334
301,62 likes,6 images,SWorks Shiv TT size XS,"15,000",Like new,Meetup,2 months ago,Road Bikes,Posted,Used once or twice. As good as new.,"Seldom used bike. 
SRAM red group with brake and bar end shifters 
Comes with power meter and complete set of cockpit parts ",N,NA,NA,Y,Melrose Park Condominium,1.29375429,103.83034182,sweatbuckets,Joined 6 years ago,Very Responsive,Verified,NA,NA,NA,5.0,12,https://www.carousell.sg/p/sworks-shiv-tt-size-xs-1231443478/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=MGv4OUbhGcKoUr8c&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=936
303,56 likes,10 images,5.5kg Cannondale Supersix Evo Gen 2 Hi-Mod 2017,"7,500",Lightly used,Meetup,2 weeks ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","My dream weight-weenie build designed for ease of riding and climbing. It has been spectacular but it’s time to pass it on.

This is a size 54 Gen 2 HI-MOD with straight fork, brand new frame sourced and built in early 2022.

SPECS:
(price shown is what i’m willing to part it for, NOT actual retail price)
Frameset 3k
Sram Red mech (fd rd shifters 11-28 cassette) 1.2k
EE Brakes $750
SiSL crankset 53-39 $990
NEW Schmolke Oversized Evo TLO 42cm (outside-outside) handlebar $450
Extralite 120mm 12degree stem $200
NEW Darimo seatpost 25.4 $400
Hyper 38mm wheelset with ultralightweight Ridenow tube with GP5k 25mm tan wall tires.

Will come with Cannondale Save carbon seatpost, carbon bottle cage and ENVE skewers.

*Full bike weight includes pedals, wahoo and mount, cages and lights.*

Sale of full bike does not include *.

Options to sell:
1. Full bike $7500
2. Without wheelset
3. Frame + groupset +-components

Not selling components only until i have a buyer who buys the frame+groupset but u may list your interest.",N,NA,NA,Y,Senja Grand,1.3858159,103.75981808,the_comrade,Joined 10 years ago,Very Responsive,Verified,NA,NA,NA,5.0,117,https://www.carousell.sg/p/5-5kg-cannondale-supersix-evo-gen-2-hi-mod-2017-1240807809/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=UjKEfDhZ58Wtk_79&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1651
304,6 likes,1 image,Vintage De Rosa,"3,500",Well used,Meetup,5 days ago,Road Bikes,Posted,Has minor flaws or defects.,"Am open to offers.

Too many bikes and want to cut down.. 

Collectible and rare vintage de Rosa with vintage campagnolo Groupset and wheels/hubs



",N,NA,NA,Y,Jalan Riang Park,1.34744656,103.86738932,portisfish,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,4.9,135,https://www.carousell.sg/p/vintage-de-rosa-1243527371/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=DWSppTaW-fp5N5yz&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=520
305,7 likes,3 images,URGENT Merida Reacto 7000,"2,020",Well used,Meetup,3 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"Bike is kept carefully, only has gear problems, stuck on one gear(light gear). But able to be used. Price is slightly negotiable, if need more pics do dm me.

Dropped from 2.5k

RFS:Don't ride gear anymore and i have no time to ride/Making space in house.",N,NA,NA,Y,BLk 440 & 439 Yishun Ave 11,1.42185094,103.84632219,his.oreos,Joined 1 year ago,Very Responsive,Verified,NA,NA,NA,5.0,2,https://www.carousell.sg/p/urgent-merida-reacto-7000-1239419660/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=fE_PmI5gsJMfuo-b&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=2083
306,31 likes,8 images,Ridley Noah SL “Lotto Soud” Colourway,"1,600",Well used,Meetup,3 weeks ago,Road Bikes,Posted,Has minor flaws or defects.,"Selling well used Ridley Noah Sl FRAME only ( handlebar and stem not included.)

Size - XS ( Which is about a size 52 )
Condition - 7.5/10

Pm me for any enquirers.
",N,NA,NA,Y,Blk 23 Eunos Crescent,1.32436824,103.90205035,ilikebike,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,40,https://www.carousell.sg/p/ridley-noah-sl-“lotto-soud”-colourway-1240088183/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=bqngu9DPepr-Wonv&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1904
307,Like,1 image,Star Wars Starwars Mug Ceramic Birthday Christmas Party Gifts   present Girlfriend  gifts Boyfriend baby shower birthday Children surprise Christmas valentine day children day Party  WHATSAPP 88918377,25,Brand new,Mailing,2 days ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"➡️ For Self collection
Do Whatsapp 8891 8377 to book an appointment

Delivery $5 Via qxpress 1-2 days
Same day delivery $20


*Available in 2 designs, Darth Vader & Stormtrooper*
Brand new !",Y,Standard delivery S$15,3 - 4 working days,N,NA,,,yomobike,Joined 2 years ago,Very Responsive,Verified,NA,NA,NA,4.8,5,https://www.carousell.sg/p/star-wars-starwars-mug-ceramic-birthday-christmas-party-gifts-present-girlfriend-gifts-boyfriend-baby-shower-birthday-children-surprise-christmas-valentine-day-children-day-party-whatsapp-88918377-1244107520/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=pFcsFvDdlwJuiL3z&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=256
308,49 likes,10 images,Look 795 Blade RS Disc Brake (full bike),"6,300 6,400",Lightly used,Meetup,Yesterday,Road Bikes,Bumped,"Used with care. Flaws, if any, are barely noticeable.","Reason to sell is due to an upcoming leg surgery. Hence letting it go at a steal, would rather the bike be used by another cyclist.

(M size)

It is equipped with a full  Ultegra groupset, Black Inc ‘45 tubeless ready wheels, KTM DLC 11 speed diamond chain and a VT Skyline carbon saddle, this bike offers top-notch performance for the discerning cyclist.

Despite the scratches sustained over the course of time, this well-maintained bike is ready to conquer the road. Perfect for enthusiasts seeking an upgrade to elevate their cycling experience. 😊
_______________________________________________________________________

Able to do slight nego for decisive, fast buyers. Lowballers will be ignored, thank you.


Disclaimer 
- pedals and bottle cage not included

",N,NA,NA,Y,Suncottages,1.37227869,103.76903879,user_7402,Joined 4 years ago,Very Responsive,Verified,NA,NA,NA,5.0,21,https://www.carousell.sg/p/look-795-blade-rs-disc-brake-full-bike-1233035249/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=AKenagH3WyunJ-Yr&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=112
309,1 like,4 images,Camel Foldable Bicycle,250,Like new,Meetup,3 days ago,Road Bikes,Posted,Used once or twice. As good as new.,"Almost new folding bicycle 
Moving out sell
Self collect from Joo Koon MRT Station ",N,NA,NA,Y,blk 339 jurong east ave 1,1.34952222,103.73183975,towfiqul.robin,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,4.9,35,https://www.carousell.sg/p/camel-foldable-bicycle-1243922924/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=SVxlLDXiQpXS6wqS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=319
310,4 likes,1 image,"21 Speed 26 inch Road bicycle for low price road bicycle road bike cobra hybrid Bike 26"" 21 speed  29 rack seat mesh lady bag child 27.5 16"" seat thermal delivery Put children WHATSAPP 89501850",279.03,Brand new,Mailing,2 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"BRAND NEW IN BOX!! LIMITED STOCKS!!!! 
Self assembly, Toolkit provided

FREE DELIVERY 1-5 Days
SAME DAY DELIVERY +$30

For fast reply, please whatsapp 8950 1850 for purchase.

✅ Shopee, Search for """"singaporesales"""" 
✅ Official Website:   www.dashlab.sg
We accept Caroupay | ShopeePay | Paylah! | Paynow | ShopPay | GooglePay | ApplePay | CreditCard  
✅ For Paylah/Paynow to 8950 1850 (Wen) 




- 21 Speed Shimano Gear Set 
- Wheel: 26
- Front suspension
- Disc Brake
- Max Load: 150kg 

You can also visit 
➡️ www.dashlab.sg for purchase or more products.

We also sell bicycle accessories package: phone holder, lock, bottle holder, led light, bell, pump, frame bag.

FOR FOOD DELIVERY:
Can also add Rear Rack / Metal Rack Behind

CAN ALSO ADD
Front child seat & Back child seat

GO TO WEBSITE FOR MORE ACCESSORIES PHOTOS:
dashlab.sg/collections/accessories-child-seat",Y,Standard delivery Free,3 - 4 working days,N,NA,,,bettercycle,Joined 2 years ago,Not Responsive,Verified,NA,NA,NA,NA,NA,https://www.carousell.sg/p/21-speed-26-inch-road-bicycle-for-low-price-road-bicycle-road-bike-cobra-hybrid-bike-26-21-speed-29-rack-seat-mesh-lady-bag-child-27-5-16-seat-thermal-delivery-put-children-whatsapp-89501850-1241460986/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=gMRLCAAd4x5OVnEu&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1521
311,3 likes,4 images,Btwin riverside hybrid 500,270,Lightly used,Meetup,4 days ago,Road Bikes,Posted,"Used with care. Flaws, if any, are barely noticeable.","Size: L, Colour: Blue
Includes below accessories.
-Front and back light(chargeable)
-helmet
-side stand
-bottle holder
-bell 
-phone holder
-floor pump",N,NA,NA,Y,The Inflora Singapore,1.35608049,103.96645434,raj7231,Joined 3 years ago,Very Responsive,Verified,NA,NA,NA,5.0,2,https://www.carousell.sg/p/btwin-riverside-hybrid-500-1243766541/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=CvJepVtJ5-n6lyez&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=419
312,21 likes,2 images,Brand New MAAP ADL PRO Jersey! (LIMITED EDITION),180,Brand new,Meetup,3 weeks ago,Road Bikes,Posted,Never used. May come with original packaging or tag.,"Selling my brand new MAAP jersey for $180. Bought from maap online at AUD $225. This is a Size M Jersey. Limited edition piece and sold out online. Comes with packaging and tag. Selling because too many jerseys in wardrobe. 

",N,NA,NA,Y,Blk 502B Yishun Street 51,1.4172249,103.84184,bikebiker,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,479,https://www.carousell.sg/p/brand-new-maap-adl-pro-jersey-limited-edition-1240151488/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=6tLs0oWl9wP6QH7C&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1884
313,10 likes,3 images,Wilier gran turismo carbon,"1,500",Well used,Meetup,1 week ago,Road Bikes,Posted,Has minor flaws or defects.,"Selling well used full shimano 105 and carbon rims.
Size XS
Interested can contact me for viewing.",N,NA,NA,Y,Blk 157C Rivervale Crescent,1.3882974,103.90750375,jeremy_81,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,4.9,33,https://www.carousell.sg/p/wilier-gran-turismo-carbon-1242363285/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=8PEFzVC8osLOTyOH&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1051
314,4 likes,10 images,Roadbike.  BOARDMAN With Shimano Ultegra 11 speed. Well Maintained.,"1,200",Like new,Meetup,Yesterday,Road Bikes,Bumped,Used once or twice. As good as new.,"Boardman Tri Bike. Full set( Without Front wheel.
Back wheel 88mm OEM FFwD.
Aero handle
Saddle fizik
Shimano Ultegra 11 speed
Price drop.

Whatsapp 87686468",N,NA,NA,Y,Car Park | Bukit Panjang Plaza,1.37956298,103.76429383,aminkamis,Joined 7 years ago,NA,Verified,NA,NA,NA,4.1,5,https://www.carousell.sg/p/roadbike-boardman-with-shimano-ultegra-11-speed-well-maintained-1244182274/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=3cdheF8_k1Jf2N-O&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=169
315,6 likes,1 image,Pardus  Robin Evo ( carbon ) Xs,"1,499",Like new,Meetup,2 weeks ago,Road Bikes,Posted,Used once or twice. As good as new.,"Good condition 
Frame set with cock pit  ( as per images )
Super light and rigid  frame 
Size suitable for 1.65-1.75 
",N,NA,NA,Y,Northstar,1.3785928,103.87628,autumn_angel_sports_pte_ltd,Joined 8 years ago,Very Responsive,Verified,NA,NA,NA,5.0,376,https://www.carousell.sg/p/pardus-robin-evo-carbon-xs-1241532643/?t-id=A_8kmMq5W2_1690002903395&t-referrer_browse_type=categories&t-referrer_category_id=247&t-referrer_page_type=category_browse&t-referrer_request_id=LcSLfmyp-7__plsS&t-referrer_search_query_source=direct_search&t-referrer_sort_by=&t-tap_index=1407
